6	1	1
7	1	1
8	1	1
10	2	2
11	2	1
13	0	0
15	1	1
16	1	1
17	1	1
19	2	2
20	0	0
21	2	1
22	2	2
23	0	0
27	1	1
29	1	1
31	0	0
32	2	2
33	2	2
34	1	0
36	1	1
37	1	1
38	1	0
39	1	1
41	2	2
43	2	1
46	1	1
48	1	1
50	1	1
51	1	1
52	2	2
53	1	1
54	2	1
57	1	1
59	1	1
60	1	1
61	1	1
63	1	2
64	0	0
66	2	2
67	0	0
68	1	1
69	1	0
71	1	1
74	2	2
75	1	1
76	2	1
80	1	1
86	1	1
89	2	2
92	1	1
95	1	1
96	1	1
101	2	1
102	1	1
103	1	1
104	1	2
106	1	1
108	1	1
109	1	2
110	1	1
111	2	2
114	1	1
115	1	1
118	2	2
121	2	2
123	1	1
125	1	1
128	1	1
132	0	0
134	2	1
135	1	1
137	1	1
138	1	1
142	2	2
143	0	0
144	1	1
145	1	1
147	1	1
149	2	2
151	2	2
152	0	0
153	1	2
154	0	0
155	2	1
156	0	0
157	2	2
158	2	2
160	2	2
162	1	2
165	1	1
166	1	1
167	2	2
168	1	0
169	2	2
171	2	1
172	2	2
174	1	1
175	1	2
177	1	2
178	2	2
179	1	1
180	2	1
181	2	2
182	2	1
187	1	1
189	1	1
190	1	1
191	2	2
193	2	2
195	2	1
196	1	0
198	0	0
199	2	1
203	1	1
204	1	2
206	2	1
207	0	0
208	1	2
209	2	2
210	0	0
212	1	1
213	1	1
214	1	1
220	1	1
221	2	1
222	2	2
229	2	2
230	0	0
231	2	2
235	1	1
239	1	1
242	2	1
243	2	1
244	0	0
245	2	1
246	1	1
247	0	0
250	1	1
251	1	1
252	1	1
255	2	2
261	1	1
262	2	2
263	2	1
264	1	1
267	1	1
268	1	1
270	1	1
271	1	1
274	2	1
275	2	1
278	1	1
281	1	1
282	2	2
284	2	2
288	1	1
290	1	1
292	1	1
294	1	1
295	1	1
297	1	1
298	1	1
299	1	1
300	2	2
306	1	1
307	1	1
308	1	1
314	0	0
316	1	1
318	1	1
319	1	1
320	1	1
321	1	1
322	2	2
324	1	2
325	1	0
326	1	1
328	1	1
330	1	1
334	1	1
336	1	2
337	1	2
343	2	2
345	1	1
348	1	1
349	1	1
350	1	1
352	0	0
353	2	1
355	0	0
356	1	1
357	1	0
359	1	1
364	2	2
365	2	1
368	1	1
369	1	1
371	2	2
376	1	1
383	1	1
385	2	1
386	2	1
388	1	1
389	1	1
399	1	1
400	1	1
401	1	1
405	1	1
406	2	2
407	1	1
408	1	2
411	2	2
412	1	1
414	1	2
416	1	1
418	1	1
419	1	1
420	1	1
421	1	1
424	2	2
425	0	0
426	2	1
429	1	1
430	1	1
431	1	0
432	2	2
433	2	2
437	1	1
443	2	1
444	2	1
445	2	2
448	1	1
452	2	1
453	1	2
455	1	2
456	0	0
458	1	1
459	1	1
460	1	1
463	0	0
464	1	1
466	0	0
467	1	1
468	1	1
469	2	2
471	1	1
472	1	1
474	0	0
478	0	0
479	1	1
480	0	0
481	2	2
482	2	2
483	0	1
487	1	1
488	1	1
490	1	1
492	0	0
493	2	1
495	1	1
498	1	1
501	1	1
502	2	2
503	0	0
504	2	1
509	1	1
510	1	1
511	1	1
512	1	1
517	2	1
518	2	2
519	0	0
521	1	1
523	1	1
525	1	1
532	0	0
533	2	1
534	1	1
536	1	1
537	1	1
539	1	1
540	1	1
543	1	1
544	2	2
546	2	1
547	1	1
549	1	1
553	1	1
554	2	2
558	1	1
559	2	1
562	1	1
563	1	1
566	1	1
567	2	2
569	1	1
571	0	0
572	2	1
573	1	1
574	0	1
575	1	1
576	1	1
577	1	1
578	1	1
579	1	1
580	2	2
582	2	1
583	2	2
584	0	0
585	2	2
589	1	1
590	2	2
591	2	2
593	2	2
594	0	0
595	1	1
596	1	1
598	1	1
600	2	2
602	0	1
607	1	1
608	1	1
610	1	1
612	2	2
613	2	2
614	0	0
615	2	1
616	1	2
618	1	1
620	1	1
623	1	1
624	1	1
627	2	1
633	1	1
635	1	1
636	1	1
639	2	2
640	2	1
642	2	2
644	1	1
652	2	2
654	2	1
656	2	1
658	1	1
659	1	1
662	0	1
664	2	1
665	2	2
666	0	1
667	2	2
669	2	1
670	1	1
673	2	2
674	0	0
675	2	2
677	1	0
681	2	1
682	1	1
683	0	1
684	1	1
686	1	1
688	1	1
694	2	1
695	1	1
